iter	Passed	Remaining
399	15401	23102
400	15412	23022
401	15420	22939
402	15435	22866
403	15459	22806
404	15480	22742
405	15493	22668
406	15526	22621
407	15543	22553
408	15573	22502
409	15589	22433
410	15601	22358
411	15615	22286
412	15632	22218
413	15649	22151
414	15665	22083
415	15680	22013
416	15816	22112
417	15867	22092
418	15904	22053
419	15956	22034
420	15972	21966
421	15995	21908
422	16017	21849
423	16035	21784
424	16061	21730
425	16079	21665
426	16094	21597
427	16113	21534
428	16139	21481
429	16155	21414
430	16170	21348
431	16187	21284
432	16204	21219
433	16218	21150
434	16229	21079
435	16247	21017
436	16258	20946
437	16266	20871
438	16275	20798
439	16281	20721
440	16295	20655
441	16328	20613
442	16342	20548
443	16356	20482
444	16373	20421
445	16389	20358
446	16406	20297
447	16435	20250
448	16454	20192
449	16481	20144
450	16499	20084
451	16513	20020
452	16532	19963
453	16561	19917
454	16591	19873
455	16601	19805
456	16629	19758
457	16638	19690
458	16712	19697
459	16728	19637
460	16742	19575
461	16754	19510
462	16801	19486
463	16815	19424
464	16831	19365
465	16900	19366
466	16919	19310
467	16937	19253
468	17023	19273
469	17036	19211
470	17049	19149
471	17106	19135
472	17116	19070
473	17150	19031
474	17164	18971
475	17215	18951
476	17225	18886
477	17235	18821
478	17325	18845
479	17332	18777
480	17345	18715
481	17441	18743
482	17449	18678
483	17458	18612
484	17467	18547
485	17573	18586
486	17689	18634
487	17802	18677
488	17811	18612
489	17907	18638
490	17915	18572
491	17923	18506
492	17960	18470
493	18093	18533
494	18112	18478
495	18137	18430
496	18157	18376
497	18177	18323
498	18198	18271
499	18232	18232
500	18277	18204
501	18292	18146
502	18315	18097
503	18330	18039
504	18344	17981
505	18356	17921
506	18365	17858
507	18378	17799
508	18391	17741
509	18406	17684
510	18431	17638
511	18445	17581
512	18459	17523
513	18466	17460
514	18477	17401
515	18494	17347
516	18504	17287
517	18513	17227
518	18521	17165
519	18535	17109
520	18560	17064
521	18569	17004
522	18581	16947
523	18633	16926
524	18653	16877
525	18675	16829
526	18748	16826
527	18758	16769
528	18821	16757
529	18928	16785
530	18936	16725
531	18945	16666
532	19084	16720
533	19241	16791
534	19256	16736
535	19272	16683
536	19320	16658
537	19342	16609
538	19353	16552
539	19371	16501
540	19401	16461
541	19416	16406
542	19476	16392
543	19496	16342
544	19510	16288
545	19551	16257
546	19566	16204
547	19610	16175
548	19650	16143
549	19691	16110
550	19719	16069
551	19786	16058
552	19825	16024
553	19847	15977
554	19884	15943
555	19899	15890
556	19910	15835
557	19924	15782
558	19947	15736
559	19962	15684
560	19970	15627
561	19979	15571
562	19993	15518
563	20003	15463
564	20009	15405
565	20067	15387
566	20094	15345
567	20216	15376
568	20244	15334
569	20285	15303
570	20298	15250
571	20309	15196
572	20322	15144
573	20333	15090
574	20346	15038
575	20360	14987
576	20381	14941
577	20398	14892
578	20414	14843
579	20430	14794
580	20446	14745
581	20458	14693
582	20467	14639
583	20483	14591
584	20502	14544
585	20524	14500
586	20539	14451
587	20556	14403
588	20568	14352
589	20585	14305
590	20606	14260
591	20621	14211
592	20633	14161
593	20642	14109
594	20660	14062
595	20672	14012
596	20692	13968
597	20701	13916
598	20725	13874
599	20738	13825
600	20753	13778
601	20896	13815
602	20902	13761
603	20979	13755
604	21050	13743
605	21160	13758
606	21174	13709
607	21189	13661
608	21212	13619
609	21220	13567
610	21230	13516
611	21239	13465
612	21268	13427
613	21298	13389
614	21311	13341
615	21329	13296
616	21361	13259
617	21416	13238
618	21471	13216
619	21486	13169
620	21501	13122
621	21531	13084
622	21542	13036
623	21561	12992
624	21579	12947
625	21591	12899
626	21606	12853
627	21624	12809
628	21688	12792
629	21701	12745
630	21710	12695
631	21774	12678
632	21784	12629
633	21849	12613
634	21895	12585
635	21974	12576
636	21981	12526
637	21990	12477
638	22105	12488
639	22113	12438
640	22121	12389
641	22137	12344
642	22180	12314
643	22192	12268
644	22202	12220
645	22210	12171
646	22255	12142
647	22269	12097
648	22281	12050
649	22287	12000
650	22393	12005
651	22413	11962
652	22558	11987
653	22622	11968
654	22629	11919
655	22636	11870
656	22643	11821
657	22649	11772
658	22657	11723
659	22664	11675
660	22743	11663
661	22776	11629
662	22785	11581
663	22803	11538
664	22836	11504
665	22844	11456
666	22850	11408
667	22857	11360
668	22903	11331
669	22922	11290
670	22933	11244
671	23040	11246
672	23049	11199
673	23106	11176
674	23141	11142
675	23276	11155
676	23343	11137
677	23353	11091
678	23390	11057
679	23469	11044
680	23478	10998
681	23515	10964
682	23532	10922
683	23548	10879
684	23612	10858
685	23618	10810
686	23628	10765
687	23637	10719
688	23759	10724
689	23817	10700
690	23868	10673
691	23915	10644
692	23993	10629
693	24049	10604
694	24082	10568
695	24117	10534
696	24143	10495
697	24167	10456
698	24177	10411
699	24209	10375
700	24230	10334
701	24265	10300
702	24282	10258
703	24300	10217
704	24319	10176
705	24341	10136
706	24378	10103
707	24402	10064
708	24421	10023
709	24431	9978
710	24463	9943
711	24564	9936
712	24599	9901
713	24615	9859
714	24627	9816
715	24636	9772
716	24665	9735
717	24677	9692
718	24692	9650
719	24737	9620
720	24889	9631
721	24911	9592
722	25054	9598
723	25125	9578
724	25226	9568
725	25277	9540
726	25385	9532
727	25480	9520
728	25497	9478
729	25505	9433
730	25524	9392
731	25610	9376
732	25669	9350
733	25692	9310
734	25742	9281
735	25757	9238
736	25857	9227
737	25915	9200
738	25962	9169
739	25973	9125
740	25991	9084
741	26063	9062
742	26080	9021
743	26104	8982
744	26149	8950
745	26170	8910
746	26188	8869
747	26204	8828
748	26219	8786
749	26259	8753
750	26347	8735
751	26445	8721
752	26473	8683
753	26525	8654
754	26539	8612
755	26554	8570
756	26575	8530
757	26588	8488
758	26607	8448
759	26617	8405
760	26625	8362
761	26632	8318
762	26640	8274
763	26653	8233
764	26666	8191
765	26676	8149
766	26683	8106
767	26693	8063
768	26699	8020
769	26706	7977
770	26712	7933
771	26722	7892
772	26728	7849
773	26739	7807
774	26745	7764
775	26753	7722
776	26762	7680
777	26770	7638
778	26782	7598
779	26799	7558
780	26813	7518
781	26822	7477
782	26831	7435
783	26840	7394
784	26847	7353
785	26858	7312
786	26865	7271
787	26874	7230
788	26887	7190
789	26906	7152
790	26917	7112
791	26924	7071
792	26934	7030
793	26941	6989
794	26949	6949
795	26957	6908
796	26965	6868
797	26973	6827
798	26980	6787
799	26990	6747
800	26998	6707
801	27008	6667
802	27015	6627
803	27023	6587
804	27031	6547
805	27038	6507
806	27043	6467
807	27050	6427
808	27056	6387
809	27063	6348
810	27069	6308
811	27079	6269
812	27084	6229
813	27092	6190
814	27097	6150
815	27104	6111
816	27110	6072
817	27115	6033
818	27122	5994
819	27128	5954
820	27136	5916
821	27142	5877
822	27149	5839
823	27155	5800
824	27163	5762
825	27170	5723
826	27179	5685
827	27185	5647
828	27193	5609
829	27200	5571
830	27210	5533
831	27217	5495
832	27227	5458
833	27233	5420
834	27243	5383
835	27249	5345
836	27259	5308
837	27270	5271
838	27277	5234
839	27288	5197
840	27294	5160
841	27305	5123
842	27312	5086
843	27320	5049
844	27329	5013
845	27337	4976
846	27348	4940
847	27354	4903
848	27363	4866
849	27373	4830
850	27382	4794
851	27394	4758
852	27407	4723
853	27415	4686
854	27424	4650
855	27431	4614
856	27441	4578
857	27454	4543
858	27462	4507
859	27470	4471
860	27482	4436
861	27491	4401
862	27502	4365
863	27512	4330
864	27519	4294
865	27527	4259
866	27537	4224
867	27545	4188
868	27556	4154
869	27565	4119
870	27575	4084
871	27585	4049
872	27593	4014
873	27606	3979
874	27617	3945
875	27626	3910
876	27633	3875
877	27642	3840
878	27648	3806
879	27658	3771
880	27666	3737
881	27679	3703
882	27693	3669
883	27703	3635
884	27712	3601
885	27723	3567
886	27730	3532
887	27740	3498
888	27750	3464
889	27757	3430
890	27769	3397
891	27780	3363
892	27789	3329
893	27801	3296
894	27812	3262
895	27818	3228
896	27827	3195
897	27833	3161
898	27845	3128
899	27854	3094
900	27863	3061
901	27872	3028
902	27879	2994
903	27889	2961
904	27899	2928
905	27907	2895
906	27963	2867
907	27970	2834
908	27979	2800
909	28015	2770
910	28023	2737
911	28030	2704
912	28037	2671
913	28044	2638
914	28052	2605
915	28061	2573
916	28069	2540
917	28078	2508
918	28085	2475
919	28094	2443
920	28105	2410
921	28113	2378
922	28123	2346
923	28130	2313
924	28141	2281
925	28154	2249
926	28162	2217
927	28176	2186
928	28184	2154
929	28193	2122
930	28207	2090
931	28218	2058
932	28224	2026
933	28233	1995
934	28244	1963
935	28252	1931
936	28259	1900
937	28266	1868
938	28274	1836
939	28284	1805
940	28293	1773
941	28306	1742
942	28335	1712
943	28349	1681
944	28368	1651
945	28396	1620
946	28444	1591
947	28464	1561
948	28473	1530
949	28483	1499
950	28507	1468
951	28523	1438
952	28537	1407
953	28556	1376
954	28569	1346
955	28586	1315
956	28623	1286
957	28649	1256
958	28668	1225
959	28698	1195
960	28715	1165
961	28730	1134
962	28747	1104
963	28766	1074
964	28788	1044
965	28796	1013
966	28811	983
967	28825	952
968	28837	922
969	28854	892
970	28873	862
971	28892	832
972	28919	802
973	28967	773
974	28988	743
975	29010	713
976	29053	683
977	29128	655
978	29152	625
979	29201	595
980	29251	566
981	29275	536
982	29290	506
983	29305	476
984	29317	446
985	29324	416
986	29336	386
987	29346	356
988	29353	326
989	29368	296
990	29381	266
991	29392	237
992	29400	207
993	29411	177
994	29422	147
995	29431	118
996	29446	88
997	29460	59
998	29474	29
999	29486	0
